"","bornCountryCode","n"
"1","AR",4
"2","AT",17
"3","AU",10
"4","AZ",1
"5","BA",2
"6","BD",1
"7","BE",9
"8","BG",1
"9","BR",1
"10","BY",4
"11","CA",18
"12","CH",16
"13","CL",2
"14","CN",12
"15","CO",2
"16","CR",1
"17","CY",1
"18","CZ",6
"19","DE",80
"20","DK",12
"21","DZ",2
"22","EG",6
"23","ES",7
"24","FI",3
"25","FR",54
"26","GB",98
"27","GH",1
"28","GP",1
"29","GR",1
"30","GT",2
"31","HR",1
"32","HU",9
"33","ID",1
"34","IE",5
"35","IL",6
"36","IN",8
"37","IR",2
"38","IS",1
"39","IT",19
"40","JP",24
"41","KE",1
"42","KR",2
"43","LC",2
"44","LR",2
"45","LT",3
"46","LU",2
"47","LV",1
"48","MA",1
"49","MG",1
"50","MK",1
"51","MM",1
"52","MX",3
"53","NG",1
"54","NL",18
"55","NO",12
"56","NZ",3
"57","PE",1
"58","PK",3
"59","PL",26
"60","PT",2
"61","RO",4
"62","RU",27
"63","SE",29
"64","SI",1
"65","SK",1
"66","TL",2
"67","TR",3
"68","TT",1
"69","TW",1
"70","UA",5
"71","US",258
"72","VE",1
"73","VN",1
"74","YE",1
"75","ZA",9
"76","ZW",1
